time,bytes-no-agent,bytes-with-agent
20210427175649,12759539392,16503299456
20210427180310,12559539080,16148093152
20210427181519,12794077320,16989500256
20210427210805,12642662392,16669109240
20210427212751,12790065704,16463482936
20210428163419,12770621824,16702853760
20210428220109,12815786088,16901090024
20210429034750,12458396824,16487996992
20210429153858,12767094920,16279204608
20210430045316,12791242944,16508860616
20210430152625,12828370760,16752291736
20210430164336,12799434976,16696904968
20210506155102,12800565888,16562063864
20210507012100,12781059384,17078457928
20210519160828,12830293720,16620472944
