time,min-heap-no-agent,max-heap-no-agent,min-heap-with-agent,max-heap-with-agent
20210427175649,31853568,264311296,42727424,338518016
20210427180310,33224192,278623800,42762752,268622848
20210427181519,32948736,270834880,45711360,348639744
20210427210805,32031744,289490368,44537344,352870912
20210427212751,30755328,253577728,45737472,323513344
20210428163419,30572544,265226752,43094528,342424576
20210428220109,32132608,266455040,41918464,307926528
20210429034750,31273984,258912768,42985472,325179904
20210429153858,31111168,261015552,43410944,307196416
20210430045316,30828544,264635904,42840576,315135488
20210430152625,31309312,296762368,42942464,336133632
20210430164336,32683008,265799552,43184640,316853248
20210506155102,32948224,257259008,44281344,310209536
20210507012100,30816256,276086784,43347456,295005696
20210519160828,32685056,223671296,43428864,305724928
20210527164235,33135104,268023808,43862016,297673728
20210528154602,31336960,295458304,43790848,328599040
20210604165704,32818176,304472112,44165120,300368384
20210617160804,30812672,222595872,44301824,328617984
20210617163400,30711808,278849024,45822976,282906112
20210629205817,32079872,291594272,45085184,334939008
20210701182951,32711680,270458672,44743168,338990368
20210701191454,31554048,226571264,45088768,314553344
20210703012038,33589760,289161856,45855232,348660224
