time,startup-no-agent,startup-with-agent
20210427175649,8,14
20210427180310,9,15
20210427181519,8,13
20210427210805,8,16
20210427212751,9,17
20210428163419,9,16
20210428220109,8,14
20210429034750,10,16
20210429153858,10,18
20210430045316,9,16
20210430152625,9,13
20210430164336,9,17
20210506155102,8,14
20210507012100,9,16
20210519160828,9,18
20210527164235,8,16
20210528154602,8,14
20210604165704,8,13
20210617160804,9,18
20210617163400,8,16
20210629205817,9,15
20210701182951,8,14
20210701191454,9,17
20210703012038,10,16
20210721175604,10,17
